symbol,company,sector,industry,headquaters
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota"
TEL,TE Connectivity Ltd.,Information Technology,Electronic Equipment & Instruments,"Schaffhausen, Switzerland"
TE,TECO Energy,Utilities,Electric Utilities,"Tampa, Florida"
THC,Tenet Healthcare Corp.,Health Care,Health Care Facilities,"Dallas, Texas"
TDC,Teradata Corp.,Information Technology,Application Software,"Miamisburg, Ohio"
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas"
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas"
TXT,Textron Inc.,Industrials,Industrial Conglomerates,"Providence, Rhode Island"
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York"
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts"
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York"
TWC,Time Warner Cable Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York"
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts"
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas"
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia"
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,"Brentwood, Tennessee"
RIG,Transocean,Energy,Oil & Gas Drilling,"Vernier, Switzerland"
TRIP,TripAdvisor,Consumer Discretionary,Internet Retail,"Newton, Massachusetts"
FOXA,Twenty-First Century Fox,Consumer Discretionary,Publishing,"New York, New York"
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas"
TYC,Tyco International,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland"
USB,U.S. Bancorp,Financials,Banks,"Minneapolis, Minnesota"
UA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska"
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota"
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia"
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
UTX,United Technologies,Industrials,Industrial Conglomerates,"Hartford, Connecticut"
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania"
UNM,Unum Group,Financials,Diversified Financial Services,"Chattanooga, Tennessee"
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania"
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina"
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas"
VAR,Varian Medical Systems,Health Care,Health Care Equipment & Services,"Palo Alto, California"
VTR,Ventas Inc,Financials,Diversified Financial Services,"Chicago, Illinois"
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia"
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,"New York, New York"
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts"
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York"
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California"
VNO,Vornado Realty Trust,Financials,REITs,"New York, New York"
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama"
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas"
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois"
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California"
WM,Waste Management Inc.,Industrials,Environmental Services,"Houston, Texas"
WAT,Waters Corporation,Health Care,Health Care Distributors & Services,"Milford, Massachusetts"
ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana"
WFC,Wells Fargo,Financials,Banks,"San Francisco, California"
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,"Irvine, California"
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado"
WY,Weyerhaeuser Corp.,Financials,REITs,"Federal Way, Washington"
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan"
WFM,Whole Foods Market,Consumer Staples,Food Retail,"Austin, Texas"
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma"
WEC,Wisconsin Energy Corporation,Utilities,Electric Utilities,"Milwaukee, Wisconsin"
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey"
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
XEL,Xcel Energy Inc,Utilities,MultiUtilities,"Minneapolis, Minnesota"
XRX,Xerox Corp.,Information Technology,IT Consulting & Services,"Norwalk, Connecticut"
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California"
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda"
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,"White Plains, New York"
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,"Sunnyvale, California"
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky"
ZMH,Zimmer Holdings,Health Care,Health Care Equipment & Services,"Warsaw, Indiana"
ZION,Zions Bancorp,Financials,Banks,"Salt Lake City, Utah"
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey"
